z_index  z  Dang[Mpc]  mass[Msun]  conc  r_trunc[Mpc]  r200[Mpc]  r200[deg]  ngal  mstar  alpha
131  1.33  1733.23  2.07134e+14  3.25636  2.21865  0.739552  0.0244475  39.6795  23.7869  -1
132  1.34  1734.44  2.09395e+14  3.2498  2.21865  0.739552  0.0244305  40.0214  23.8119  -1
133  1.35  1735.59  2.11676e+14  3.24327  2.21865  0.739552  0.0244142  40.3653  23.8366  -1
134  1.36  1736.69  2.13976e+14  3.23678  2.21865  0.739552  0.0243988  40.7115  23.8612  -1
135  1.37  1737.73  2.16296e+14  3.23033  2.21865  0.739552  0.0243842  41.0598  23.8857  -1
136  1.38  1738.72  2.18635e+14  3.22391  2.21865  0.739552  0.0243704  41.4102  23.9109  -1
137  1.39  1739.65  2.20994e+14  3.21752  2.21865  0.739552  0.0243573  41.7628  23.9356  -1
138  1.4  1740.54  2.23373e+14  3.21117  2.21865  0.739552  0.0243449  42.1176  23.9613  -1
139  1.41  1741.37  2.25772e+14  3.20485  2.21865  0.739552  0.0243332  42.4745  23.9874  -1
140  1.42  1742.15  2.28191e+14  3.19857  2.21865  0.739552  0.0243223  42.8336  24.0145  -1
141  1.43  1742.89  2.3063e+14  3.19232  2.21865  0.739552  0.024312  43.1949  24.042  -1
142  1.44  1743.58  2.33089e+14  3.1861  2.21865  0.739552  0.0243024  43.5583  24.07  -1
143  1.45  1744.22  2.35569e+14  3.17992  2.21865  0.739552  0.0242935  43.9239  24.0983  -1
144  1.46  1744.81  2.38068e+14  3.17377  2.21865  0.739552  0.0242852  44.2917  24.1261  -1
145  1.47  1745.36  2.40588e+14  3.16765  2.21865  0.739552  0.0242776  44.6617  24.1541  -1
146  1.48  1745.87  2.43129e+14  3.16157  2.21865  0.739552  0.0242705  45.0339  24.183  -1
147  1.49  1746.33  2.4569e+14  3.15552  2.21865  0.739552  0.0242641  45.4083  24.2113  -1
148  1.5  1746.75  2.48272e+14  3.14949  2.21865  0.739552  0.0242583  45.7848  24.2406  -1
149  1.51  1747.13  2.50874e+14  3.1435  2.21865  0.739552  0.024253  46.1636  24.2695  -1
150  1.52  1747.47  2.53498e+14  3.13755  2.21865  0.739552  0.0242484  46.5445  24.2983  -1
151  1.53  1747.76  2.56142e+14  3.13162  2.21865  0.739552  0.0242442  46.9276  24.3267  -1
152  1.54  1748.02  2.58807e+14  3.12572  2.21865  0.739552  0.0242407  47.313  24.3548  -1
153  1.55  1748.24  2.61494e+14  3.11986  2.21865  0.739552  0.0242376  47.7005  24.3841  -1
154  1.56  1748.42  2.64201e+14  3.11402  2.21865  0.739552  0.0242351  48.0903  24.4122  -1
155  1.57  1748.56  2.6693e+14  3.10822  2.21865  0.739552  0.0242332  48.4822  24.4398  -1
156  1.58  1748.67  2.6968e+14  3.10244  2.21865  0.739552  0.0242317  48.8764  24.4678  -1
157  1.59  1748.74  2.72451e+14  3.0967  2.21865  0.739552  0.0242307  49.2728  24.4926  -1
158  1.6  1748.78  2.75244e+14  3.09098  2.21865  0.739552  0.0242302  49.6714  24.5165  -1
159  1.61  1748.78  2.78059e+14  3.0853  2.21865  0.739552  0.0242302  50.0722  24.5394  -1
160  1.62  1748.75  2.80895e+14  3.07964  2.21865  0.739552  0.0242306  50.4752  24.5611  -1
161  1.63  1748.68  2.83753e+14  3.07401  2.21865  0.739552  0.0242315  50.8805  24.5836  -1
162  1.64  1748.58  2.86632e+14  3.06841  2.21865  0.739552  0.0242329  51.288  24.6069  -1
163  1.65  1748.45  2.89534e+14  3.06284  2.21865  0.739552  0.0242347  51.6977  24.6301  -1
164  1.66  1748.29  2.92458e+14  3.05729  2.21865  0.739552  0.0242369  52.1097  24.6547  -1
165  1.67  1748.1  2.95403e+14  3.05178  2.21865  0.739552  0.0242396  52.5239  24.6807  -1
166  1.68  1747.88  2.98371e+14  3.04629  2.21865  0.739552  0.0242427  52.9403  24.7065  -1
167  1.69  1747.62  3.01361e+14  3.04083  2.21865  0.739552  0.0242462  53.359  24.733  -1
168  1.7  1747.34  3.04373e+14  3.03539  2.21865  0.739552  0.0242501  53.7799  24.7593  -1
169  1.71  1747.03  3.07408e+14  3.02999  2.21865  0.739552  0.0242544  54.203  24.7855  -1
170  1.72  1746.7  3.10465e+14  3.02461  2.21865  0.739552  0.024259  54.6284  24.812  -1
171  1.73  1746.33  3.13545e+14  3.01926  2.21865  0.739552  0.0242641  55.0561  24.8389  -1
172  1.74  1745.94  3.16647e+14  3.01393  2.21865  0.739552  0.0242696  55.486  24.8663  -1
173  1.75  1745.52  3.19772e+14  3.00863  2.21865  0.739552  0.0242754  55.9182  24.8933  -1
174  1.76  1745.08  3.2292e+14  3.00336  2.21865  0.739552  0.0242816  56.3526  24.922  -1
175  1.77  1744.61  3.26091e+14  2.99811  2.21865  0.739552  0.0242881  56.7893  24.9491  -1
176  1.78  1744.11  3.29285e+14  2.99289  2.21865  0.739552  0.024295  57.2283  24.9769  -1
177  1.79  1743.59  3.32502e+14  2.98769  2.21865  0.739552  0.0243022  57.6695  25.0029  -1
178  1.8  1743.05  3.35742e+14  2.98252  2.21865  0.739552  0.0243098  58.113  25.0287  -1
179  1.81  1742.49  3.39005e+14  2.97737  2.21865  0.739552  0.0243177  58.5587  25.0533  -1
180  1.82  1741.9  3.42292e+14  2.97225  2.21865  0.739552  0.0243259  59.0068  25.0782  -1
181  1.83  1741.28  3.45602e+14  2.96715  2.21865  0.739552  0.0243344  59.4571  25.1027  -1
182  1.84  1740.65  3.48935e+14  2.96208  2.21865  0.739552  0.0243433  59.9097  25.1255  -1
183  1.85  1739.99  3.52292e+14  2.95703  2.21865  0.739552  0.0243525  60.3645  25.1495  -1
184  1.86  1739.32  3.55673e+14  2.95201  2.21865  0.739552  0.024362  60.8217  25.1726  -1
185  1.87  1738.62  3.59077e+14  2.94701  2.21865  0.739552  0.0243717  61.2811  25.1963  -1
186  1.88  1737.9  3.62505e+14  2.94203  2.21865  0.739552  0.0243818  61.7429  25.2211  -1
187  1.89  1737.16  3.65957e+14  2.93708  2.21865  0.739552  0.0243922  62.2069  25.2471  -1
188  1.9  1736.4  3.69433e+14  2.93215  2.21865  0.739552  0.0244028  62.6732  25.2727  -1
189  1.91  1735.63  3.72933e+14  2.92724  2.21865  0.739552  0.0244138  63.1418  25.2993  -1
190  1.92  1734.83  3.76457e+14  2.92236  2.21865  0.739552  0.024425  63.6128  25.3235  -1
191  1.93  1734.01  3.80006e+14  2.9175  2.21865  0.739552  0.0244365  64.086  25.3485  -1
192  1.94  1733.18  3.83579e+14  2.91267  2.21865  0.739552  0.0244482  64.5615  25.3707  -1
193  1.95  1732.33  3.87176e+14  2.90785  2.21865  0.739552  0.0244602  65.0393  25.3922  -1
194  1.96  1731.46  3.90797e+14  2.90306  2.21865  0.739552  0.0244725  65.5195  25.4115  -1
195  1.97  1730.57  3.94443e+14  2.89829  2.21865  0.739552  0.024485  66.0019  25.4318  -1
196  1.98  1729.67  3.98114e+14  2.89355  2.21865  0.739552  0.0244978  66.4867  25.45  -1
197  1.99  1728.75  4.0181e+14  2.88882  2.21865  0.739552  0.0245109  66.9738  25.4669  -1
198  2  1727.82  4.0553e+14  2.88412  2.21865  0.739552  0.0245241  67.4632  25.4806  -1
199  2.01  1726.86  4.09275e+14  2.87944  2.21865  0.739552  0.0245376  67.9549  25.4907  -1
200  2.02  1725.9  4.13045e+14  2.87478  2.21865  0.739552  0.0245514  68.4489  25.5004  -1
